id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21392883,Comfort room 5,129890578,Dadywil,Lisboa,Areeiro,38.74294613490698,-9.136180175549766,Private room,45,2,3,2018-07-12,0.75,7,365
21393316,Double room with balcony,21979132,Pedro,Lisboa,Areeiro,38.74438574730207,-9.139747384270702,Private room,35,2,28,2018-07-24,3.11,2,49
21395131,Nélia's House- Parque das Nações Apartment,154988947,Nélia,Lisboa,Parque das Naes,38.7776009997832,-9.098256373849477,Entire home/apt,85,2,15,2018-07-12,1.72,1,160
21395561,house in center of lisbon,146586047,Sergio&Ewelina,Lisboa,Arroios,38.7215690022371,-9.133118449359563,Private room,25,2,42,2018-07-27,4.72,2,34
21396091,Figueira Residency - Luxury apartment,105540604,Christophe,Lisboa,Santa Maria Maior,38.71303646912799,-9.137604763433623,Entire home/apt,363,2,5,2018-07-22,0.65,20,365
21396883,Estoril Diamond,155003421,Judit,Cascais,Cascais e Estoril,38.705108335310754,-9.407402960003488,Entire home/apt,49,3,15,2018-07-14,2.16,1,300
21396961,Cozy and Modern Apartment in Principe Real,51012312,Leonor,Lisboa,Santo Antnio,38.71711545324759,-9.151124147580283,Entire home/apt,78,3,5,2018-07-16,0.69,1,244
21397692,Double room well located in the heart of Belém,107065728,Mariana,Lisboa,Alcntara,38.698194060544,-9.1909430403848,Private room,25,1,3,2018-07-27,3,1,149
21397766,Apartamento T2 Com Terraço Pontinha Lisboa,155016460,Danideal,Odivelas,Pontinha e Fames,38.76269452960832,-9.202226961135,Entire home/apt,110,3,2,2018-07-24,1.25,2,319
21397848,T2 Men Martins.  Estação Comboios,151556025,Evidente,Sintra,Algueiro-Mem Martins,38.79690627535446,-9.329117556207867,Entire home/apt,65,5,0,,,3,284
21398115,Sea View Penthouse Apartment,106937197,Vasco,Cascais,Cascais e Estoril,38.70119295053991,-9.417914364937676,Entire home/apt,225,2,1,2018-07-01,1,9,319
21398881,Comfort room 6,129890578,Dadywil,Lisboa,Areeiro,38.74371008993746,-9.136870412501311,Private room,45,2,1,2018-05-13,0.38,7,270
21399185,Comfort room 7,129890578,Dadywil,Lisboa,Areeiro,38.74481047153668,-9.137498949779667,Private room,45,2,2,2018-05-11,0.67,7,301
21399222,Belém Townhouse,22425707,Hugo,Lisboa,Belm,38.69944028034796,-9.218905284750997,Entire home/apt,200,3,2,2018-07-15,0.28,1,145
21401004,Double Room 1,154915889,Ariana,Lisboa,Estrela,38.70750908926043,-9.154950916001807,Private room,19,2,44,2018-07-14,4.84,4,106
