id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18426843,T3 com vistas de mar,126921846,Joaquim,Oeiras,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",38.7005120354959,-9.284700252267704,Entire home/apt,60,45,0,,,2,69
18427574,Downtown Apartment Santa Catarina,127708046,Ricardo,Lisboa,Misericrdia,38.7105400727899,-9.148465152668976,Entire home/apt,51,3,98,2018-09-11,5.80,2,332
18428271,Rooftop Apartment,127713888,"Joana, Tiago & Diogo",Lisboa,Estrela,38.70803226274433,-9.158461061040951,Entire home/apt,115,2,51,2018-09-10,3.04,2,310
18428932,Ribeira do Rio,127719899,Ana,Lisboa,Misericrdia,38.70681298258335,-9.143426165344936,Entire home/apt,140,7,15,2018-08-03,0.91,1,330
18429220,Lapa Garden,7871068,David,Lisboa,Estrela,38.707857399714875,-9.162671560150912,Entire home/apt,90,2,7,2017-10-05,0.48,1,0
18429331,Gorgeous bright apartment in the heart of Lisbon,44149904,Mariana,Lisboa,Misericrdia,38.7085421447305,-9.15199450173058,Entire home/apt,120,3,17,2018-08-19,1.01,2,1
18430259,Casa Lameiras | Private Room and Bathroom,57853651,José,Mafra,Mafra,38.96064870115444,-9.347217930707417,Private room,58,2,1,2017-07-19,0.07,3,364
18430779,"Lisbon graffiti B&B, cosy rooms.",103451533,Arianna,Lisboa,Penha de Frana,38.73168662266408,-9.126832566990391,Private room,26,2,9,2017-09-30,0.54,5,2
18431220,Lisbon Lights Eléctrico Apartment,66194176,Hugo,Lisboa,So Vicente,38.7184444207171,-9.126835519684743,Entire home/apt,100,2,2,2018-04-19,0.12,3,304
18431613,Alfama House Remédios,85459819,Associação Lisbonense Proprietários,Lisboa,Santa Maria Maior,38.712300243228334,-9.126029344122099,Entire home/apt,60,3,28,2018-08-31,1.79,3,165
18431823,Carmen Miranda Room - Stars Rooms Mouraria,126461598,Zorro E Calabrezzi,Lisboa,Santa Maria Maior,38.71697215736757,-9.133872372860523,Private room,19,2,16,2018-01-05,0.95,16,239
